event_id,timestamp,clip_id,zone,behavior_class,policy_rule_ref,event_description,severity,escalation_action,frame_number,created_at
46b4d56d-db3f-4899-8964-568dcdb9f29a,2026-06-23T01:06:25.037468,4_tr41.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 73.0%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,104,2026-06-22 20:06:25
c5b298a7-afde-456a-9808-a9788ef025c2,2026-06-23T01:06:25.020328,4_tr39.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 10/10 frames agreeing (avg confidence: 77.3%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,151,2026-06-22 20:06:25
5e6f23cb-8ef1-4c46-8604-e2d682f59392,2026-06-23T01:06:25.003509,4_tr38.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 10/10 frames agreeing (avg confidence: 79.9%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,151,2026-06-22 20:06:25
4263cf37-325e-4e83-abb1-ad9a5ce6cf76,2026-06-23T01:06:24.990360,4_tr37.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 10/10 frames agreeing (avg confidence: 81.3%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,151,2026-06-22 20:06:24
53a8f357-5d94-4bd2-bdee-09cb83b13964,2026-06-23T01:06:24.978599,4_tr36.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 10/10 frames agreeing (avg confidence: 75.5%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,151,2026-06-22 20:06:24
1f7e1cdd-8447-41c9-96eb-adb7d9c780a8,2026-06-23T01:06:24.966547,4_tr33.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 8/10 frames agreeing (avg confidence: 66.9%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,120,2026-06-22 20:06:24
664e0c36-fc20-462e-bff8-5f61a3e45f9f,2026-06-23T01:06:24.944677,4_tr11.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 75.1%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,130,2026-06-22 20:06:24
26bb3952-20d9-4a8c-b3ad-a106cef3300f,2026-06-23T01:06:24.933015,3_tr9.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
a9764b40-5141-4c75-833e-3925038e1c39,2026-06-23T01:06:24.922801,3_tr8.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
dbff17a6-c106-4da5-8749-87c3473b60e8,2026-06-23T01:06:24.910062,3_tr7.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
55752404-c00c-4cd3-b114-4e2a692b2360,2026-06-23T01:06:24.892888,3_tr6.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
258112ab-123c-44a0-8db8-753ed5add356,2026-06-23T01:06:24.877863,3_tr5.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
8fb8a22d-8ca9-4c49-84b5-64a31d88c8df,2026-06-23T01:06:24.858378,3_tr48.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,37,2026-06-22 20:06:24
5f34649d-d0a1-4208-9933-54d6d9e79ee8,2026-06-23T01:06:24.836312,3_tr47.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,37,2026-06-22 20:06:24
2c57c8b7-5f36-4be4-a577-8b97efbbf332,2026-06-23T01:06:24.788576,3_tr46.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,37,2026-06-22 20:06:24
5c721c1b-5678-431c-8201-a11679139836,2026-06-23T01:06:24.766448,3_tr45.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,37,2026-06-22 20:06:24
16c087f5-692d-498f-9d43-2f54f810458c,2026-06-23T01:06:24.746860,3_tr44.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,37,2026-06-22 20:06:24
62687dc9-4b35-48d8-950e-b7a13f15238e,2026-06-23T01:06:24.735365,3_tr43.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.5%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,38,2026-06-22 20:06:24
cc3feb3d-2679-4f95-9c4f-5442d828a3ca,2026-06-23T01:06:24.724480,3_tr42.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
49a844fb-6990-42c1-a463-4c0453e9d6da,2026-06-23T01:06:24.712397,3_tr41.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
38c02947-db27-420b-958d-e6e517fb1c8b,2026-06-23T01:06:24.700323,3_tr40.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
85307e33-c3da-4967-a1ca-2a77cb70c030,2026-06-23T01:06:24.688673,3_tr4.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.6%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
b5b7638b-c078-4a31-aac1-7f2bcc9cb1f8,2026-06-23T01:06:24.677519,3_tr39.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
bb6e2587-b858-49d5-a4f0-bf2ac4a44a32,2026-06-23T01:06:24.666560,3_tr38.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
1978ed48-1a50-4b8a-9b55-762399f63401,2026-06-23T01:06:24.655143,3_tr37.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
168f06c5-172d-4492-b2f0-98f8d2a8c4a4,2026-06-23T01:06:24.643828,3_tr36.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,50,2026-06-22 20:06:24
90e58516-8487-4a5a-aaba-98f4ee8dc115,2026-06-23T01:06:24.631347,3_tr35.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,55,2026-06-22 20:06:24
c649a75e-e5ba-4faa-910e-13008cdc770c,2026-06-23T01:06:24.619866,3_tr34.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.7%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
bb5954dc-4dc4-4abe-9206-4c7338c1382c,2026-06-23T01:06:24.607531,3_tr33.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
766e9a55-729e-4af8-8e31-3bc84fc58a9f,2026-06-23T01:06:24.590470,3_tr32.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
777d5195-eaec-4395-86c7-def158c1092f,2026-06-23T01:06:24.566744,3_tr31.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
bafd1164-84f1-4d11-899b-3ec9f78c029a,2026-06-23T01:06:24.542411,3_tr30.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
772090c8-b2ae-4c5b-a97c-72c31f3d0bbe,2026-06-23T01:06:24.520793,3_tr3.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,137,2026-06-22 20:06:24
d7edd1e6-3093-4bcd-9448-618265b0dd33,2026-06-23T01:06:24.497673,3_tr29.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
467baa36-ab2b-43fa-8625-3924372d9896,2026-06-23T01:06:24.476477,3_tr28.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
e5dd0f99-188c-4e99-beb6-5c521816c417,2026-06-23T01:06:24.454774,3_tr27.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,62,2026-06-22 20:06:24
975a298e-0e3c-4912-8a57-6c2eb2d28c93,2026-06-23T01:06:24.431894,3_tr26.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.6%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,75,2026-06-22 20:06:24
b5586f1c-dfff-40ec-872f-3cdbd13e84fa,2026-06-23T01:06:24.407210,3_tr25.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,75,2026-06-22 20:06:24
7c0bd899-93c8-4591-a168-7ec5e6147e12,2026-06-23T01:06:24.386213,3_tr24.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,75,2026-06-22 20:06:24
c8da9b13-b218-48d5-9f1e-a12443785532,2026-06-23T01:06:24.363049,3_tr23.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
3a911a47-159a-442f-81df-6a24fdfc99b5,2026-06-23T01:06:24.340326,3_tr22.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
9490509e-497a-4afc-afdc-98db43106eff,2026-06-23T01:06:24.321491,3_tr21.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.7%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,100,2026-06-22 20:06:24
fe77ddc6-7e96-4bae-ab06-e5b6458750d8,2026-06-23T01:06:24.303921,3_tr20.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.7%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,100,2026-06-22 20:06:24
db36f966-d6cb-41e3-85e1-6da6715df8bf,2026-06-23T01:06:24.287479,3_tr2.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,150,2026-06-22 20:06:24
e1240ead-c0ac-4ffd-a002-3f7322894164,2026-06-23T01:06:24.272942,3_tr19.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.7%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,112,2026-06-22 20:06:24
a010fc67-7bfa-45ff-b03f-e801341eecb1,2026-06-23T01:06:24.256079,3_tr18.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,112,2026-06-22 20:06:24
22f51ddd-cd70-4511-af4f-b66109691091,2026-06-23T01:06:24.239237,3_tr17.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
d3735160-01a7-402b-8c0c-6d76ca3d4811,2026-06-23T01:06:24.214179,3_tr16.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
6c8dd808-83ff-435c-be22-5690d87cf6f0,2026-06-23T01:06:24.190549,3_tr15.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
b1826570-9b27-4766-a04b-279b923782e1,2026-06-23T01:06:24.169926,3_tr14.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
ec4836ef-93c0-4724-b0f3-ced833ea638a,2026-06-23T01:06:24.147064,3_tr13.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
308b8362-e45f-4f0a-9a4e-78c0841d3007,2026-06-23T01:06:24.125355,3_tr12.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
9a9fbe7b-5e60-42ee-a10b-f610bd565edd,2026-06-23T01:06:24.104853,3_tr11.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
80cd8974-916c-4446-bc56-9c1b7c26b866,2026-06-23T01:06:24.090294,3_tr10.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,125,2026-06-22 20:06:24
8206dd92-8ec0-433f-ad60-6a4aacaf6b0f,2026-06-23T01:06:24.075483,3_tr1.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,CRITICAL,Real-time alert triggered + DB log,162,2026-06-22 20:06:24
bb899754-e150-41fb-abad-6fcc4d74c4c2,2026-06-23T01:06:24.059103,2_tr99.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 86.8%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
40519e74-0622-449d-91de-b6fd009cc157,2026-06-23T01:06:24.042038,2_tr98.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 83.5%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
0c5ed4fa-187c-4c5e-8940-67f9a0f02350,2026-06-23T01:06:24.025340,2_tr97.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 77.2%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
274e4f97-8bc0-407c-a74b-1158cb12699a,2026-06-23T01:06:24.009835,2_tr96.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 9/10 frames agreeing (avg confidence: 69.9%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:24
2468e399-5c7a-437f-bac4-a0b01a3fa464,2026-06-23T01:06:23.993578,2_tr95.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 74.9%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:23
34790296-99fa-47de-bc96-230acccc77bc,2026-06-23T01:06:23.973343,2_tr94.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 87.9%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:23
f6b2723c-c372-47c8-96ba-f2c38824e4b0,2026-06-23T01:06:23.950347,2_tr93.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 71.0%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,87,2026-06-22 20:06:23
